Statement Date,Branch Name,Branch Number,Account Number,Account Currency,Opening Available Balance,Current/Closing Available Balance,Opening Ledger Balance,Current/Closing Ledger Balance,Account Name,Account Type,Customer Name,Customer Number,Last Entry Date,IBAN Number,Calculated Balances,Overdraft Amount
2/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"7,527,080.58","18,426,869.34","7,546,506.34","18,426,869.34",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
3/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"18,426,869.34","23,432,949.58","18,426,869.34","23,432,949.58",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
4/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"23,432,949.58","24,578,713.60","23,432,949.58","24,578,713.60",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
5/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"24,578,713.60","24,684,773.33","24,578,713.60","24,684,773.33",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
7/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"24,684,773.33","3,684,700.61","24,684,773.33","3,684,700.61",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
8/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,684,700.61","3,684,700.61","3,684,700.61","3,684,700.61",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
9/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,684,700.61","1,134,546.24","3,684,700.61","1,134,546.24",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
10/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,134,546.24","1,134,546.24","1,134,546.24","1,134,546.24",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
11/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,134,546.24","994,084.31","1,134,546.24","994,084.31",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
12/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"994,084.31","994,084.31","994,084.31","994,084.31",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
14/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"994,084.31","719,108.95","994,084.31","719,108.95",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
15/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"719,108.95","1,402,078.43","719,108.95","1,402,078.43",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
16/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,402,078.43","1,935,477.79","1,402,078.43","1,935,477.79",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
17/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"1,935,477.79","2,935,477.79","1,935,477.79","2,935,477.79",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
18/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,935,477.79","3,707,920.35","2,935,477.79","3,707,920.35",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
19/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,707,920.35","3,707,920.35","3,707,920.35","3,707,920.35",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
21/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,707,920.35","11,171,404.66","3,707,920.35","11,171,404.66",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
22/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"11,171,404.66","8,819,941.05","11,171,404.66","8,819,941.05",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
23/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"8,819,941.05","8,819,941.05","8,819,941.05","8,819,941.05",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
24/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"8,819,941.05","8,607,434.30","8,819,941.05","8,607,434.30",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
25/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"8,607,434.30","8,487,434.30","8,607,434.30","8,487,434.30",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
26/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"8,487,434.30","8,487,434.30","8,487,434.30","8,487,434.30",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
28/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"8,487,434.30","8,487,434.30","8,487,434.30","8,487,434.30",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
29/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"8,487,434.30","8,487,434.30","8,487,434.30","8,487,434.30",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
30/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"8,487,434.30","487,396.55","8,487,434.30","487,396.55",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
31/1/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"487,396.55","487,396.55","487,396.55","490,963.08",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
1/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"487,396.55","490,963.08","490,963.08","490,963.08",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
2/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"490,963.08","490,963.08","490,963.08","490,963.08",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
4/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"490,963.08","490,963.08","490,963.08","490,963.08",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
8/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"490,963.08","5,218,956.26","490,963.08","5,218,956.26",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
9/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"5,218,956.26","5,218,956.26","5,218,956.26","5,218,956.26",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
11/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"5,218,956.26","6,398,394.76","5,218,956.26","6,398,394.76",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
12/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"6,398,394.76","3,006,122.86","6,398,394.76","3,006,122.86",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
13/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,006,122.86","3,006,096.31","3,006,122.86","3,006,096.31",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
14/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,006,096.31","2,528,767.93","3,006,096.31","2,528,767.93",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
15/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,528,767.93","2,528,767.93","2,528,767.93","2,528,767.93",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
16/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,528,767.93","2,528,767.93","2,528,767.93","2,528,767.93",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
18/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,528,767.93","8,020,958.81","2,528,767.93","8,020,958.81",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
19/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"8,020,958.81","3,010,936.01","8,020,958.81","3,010,936.01",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
20/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,010,936.01","3,010,936.01","3,010,936.01","3,010,936.01",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
21/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,010,936.01","3,010,936.01","3,010,936.01","3,010,936.01",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
22/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"3,010,936.01","2,681,077.40","3,010,936.01","2,681,077.40",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
23/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,681,077.40","2,681,077.40","2,681,077.40","2,681,077.40",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
25/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,681,077.40","181,039.66","2,681,077.40","181,039.66",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
26/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"181,039.66","2,442,722.66","181,039.66","2,442,722.66",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
27/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"2,442,722.66","56,478,771.66","2,442,722.66","56,478,771.66",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
28/2/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"56,478,771.66","67,988,368.75","56,478,771.66","67,995,875.43",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
1/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"67,988,368.75","67,995,875.43","67,995,875.43","67,995,875.43",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
2/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"67,995,875.43","67,995,875.43","67,995,875.43","67,995,875.43",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
4/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"67,995,875.43","73,333,089.71","67,995,875.43","73,333,089.71",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
5/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"73,333,089.71","73,330,951.96","73,333,089.71","73,330,951.96",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
6/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"73,330,951.96","74,695,934.96","73,330,951.96","74,695,934.96",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
7/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"74,695,934.96","100,695,934.96","74,695,934.96","100,695,934.96",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
8/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,695,934.96","100,695,934.96","100,695,934.96","100,695,934.96",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
9/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,695,934.96","100,695,934.96","100,695,934.96","100,695,934.96",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
11/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,695,934.96","99,695,897.22","100,695,934.96","99,695,897.22",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
12/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"99,695,897.22","99,695,897.22","99,695,897.22","99,695,897.22",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
13/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"99,695,897.22","99,695,897.22","99,695,897.22","99,695,897.22",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
14/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"99,695,897.22","100,241,409.73","99,695,897.22","100,241,409.73",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
15/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,241,409.73","100,205,341.42","100,241,409.73","100,205,341.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
16/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,205,341.42","100,205,341.42","100,205,341.42","100,205,341.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
18/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,205,341.42","100,205,341.42","100,205,341.42","100,205,341.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
19/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,205,341.42","100,265,424.42","100,205,341.42","100,265,424.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
20/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,265,424.42","100,265,425.42","100,265,424.42","100,265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
21/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,265,425.42","100,265,425.42","100,265,425.42","100,265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
22/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,265,425.42","100,265,425.42","100,265,425.42","100,265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
23/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,265,425.42","100,265,425.42","100,265,425.42","100,265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
25/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"100,265,425.42","265,425.42","100,265,425.42","265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
26/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"265,425.42","265,425.42","265,425.42","265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
27/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"265,425.42","265,425.42","265,425.42","265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
28/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"265,425.42","265,425.42","265,425.42","265,425.42",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
29/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"265,425.42","63,691,661.58","265,425.42","63,691,661.58",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
30/3/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"63,691,661.58","90,137,830.58","63,691,661.58","90,287,614.96",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
1/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"90,137,830.58","40,287,614.96","90,287,614.96","40,287,614.96",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
2/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"40,287,614.96","40,277,594.13","40,287,614.96","40,277,594.13",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
3/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"40,277,594.13","45,942,216.54","40,277,594.13","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
4/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
6/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
8/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
9/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
10/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
11/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
12/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
13/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","45,942,216.54","45,942,216.54","45,942,216.54",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
15/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"45,942,216.54","9,565,920.77","45,942,216.54","9,565,920.77",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
16/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"9,565,920.77","10,612,996.03","9,565,920.77","10,612,996.03",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
17/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"10,612,996.03","25,358,860.37","10,612,996.03","25,358,860.37",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
18/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"25,358,860.37","34,524,974.08","25,358,860.37","34,524,974.08",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
23/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"34,524,974.08","16,899,699.37","34,524,974.08","16,899,699.37",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
24/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"16,899,699.37","16,899,699.37","16,899,699.37","16,899,699.37",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
25/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"16,899,699.37","18,150,592.87","16,899,699.37","18,150,592.87",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
26/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"18,150,592.87","17,924,448.60","18,150,592.87","17,924,448.60",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
27/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"17,924,448.60","17,924,448.60","17,924,448.60","17,924,448.60",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
29/4/2019,CITIBANK N.A. HONG KONG,712,1186218015,USD,"17,924,448.60","12,875,020.76","17,924,448.60","12,875,020.76",GLP PTE LTD,Current Account,GLP PTE. LTD.,186218,26/6/2019,,No,
